x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-259.7000E-03,+30.6534E-03,+51.2565E-03;;-0.25970;0.03065;0.05126
-259.6000E-03,+30.6534E-03,+51.2565E-03;;-0.25960;0.03065;0.05126
-259.5000E-03,+30.6534E-03,+51.2565E-03;;-0.25950;0.03065;0.05126
-259.4000E-03,+30.6534E-03,+51.2565E-03;;-0.25940;0.03065;0.05126
-259.3000E-03,+30.6534E-03,+51.2565E-03;;-0.25930;0.03065;0.05126
-259.2000E-03,+30.6534E-03,+11.0555E-03;;-0.25920;0.03065;0.01106
-259.1000E-03,-9.5476E-03,+51.2565E-03;;-0.25910;-0.00955;0.05126
-259.0000E-03,-9.5476E-03,+51.2565E-03;;-0.25900;-0.00955;0.05126
-258.9000E-03,+30.6534E-03,+11.0555E-03;;-0.25890;0.03065;0.01106
-258.8000E-03,-9.5476E-03,+51.2565E-03;;-0.25880;-0.00955;0.05126
-258.7000E-03,-9.5476E-03,+91.4575E-03;;-0.25870;-0.00955;0.09146
-258.6000E-03,+30.6534E-03,+11.0555E-03;;-0.25860;0.03065;0.01106
-258.5000E-03,+30.6534E-03,-29.1455E-03;;-0.25850;0.03065;-0.02915
-258.4000E-03,+70.8544E-03,-29.1455E-03;;-0.25840;0.07085;-0.02915
-258.3000E-03,+70.8544E-03,-29.1455E-03;;-0.25830;0.07085;-0.02915
-258.2000E-03,+30.6534E-03,+51.2565E-03;;-0.25820;0.03065;0.05126
-258.1000E-03,+30.6534E-03,+51.2565E-03;;-0.25810;0.03065;0.05126
-258.0000E-03,-9.5476E-03,+11.0555E-03;;-0.25800;-0.00955;0.01106
-257.9000E-03,-9.5476E-03,+11.0555E-03;;-0.25790;-0.00955;0.01106
-257.8000E-03,+30.6534E-03,-29.1455E-03;;-0.25780;0.03065;-0.02915
-257.7000E-03,+30.6534E-03,-29.1455E-03;;-0.25770;0.03065;-0.02915
-257.6000E-03,-9.5476E-03,+51.2565E-03;;-0.25760;-0.00955;0.05126
-257.5000E-03,-9.5476E-03,+51.2565E-03;;-0.25750;-0.00955;0.05126
-257.4000E-03,-9.5476E-03,-29.1455E-03;;-0.25740;-0.00955;-0.02915
-257.3000E-03,-9.5476E-03,-29.1455E-03;;-0.25730;-0.00955;-0.02915
-257.2000E-03,+30.6534E-03,+11.0555E-03;;-0.25720;0.03065;0.01106
-257.1000E-03,+30.6534E-03,+51.2565E-03;;-0.25710;0.03065;0.05126
-257.0000E-03,-9.5476E-03,+91.4575E-03;;-0.25700;-0.00955;0.09146
-256.9000E-03,-9.5476E-03,+91.4575E-03;;-0.25690;-0.00955;0.09146
-256.8000E-03,-9.5476E-03,+51.2565E-03;;-0.25680;-0.00955;0.05126
-256.7000E-03,-49.7486E-03,+51.2565E-03;;-0.25670;-0.04975;0.05126
-256.6000E-03,-49.7486E-03,+91.4575E-03;;-0.25660;-0.04975;0.09146
-256.5000E-03,-49.7486E-03,+91.4575E-03;;-0.25650;-0.04975;0.09146
-256.4000E-03,+30.6534E-03,+51.2565E-03;;-0.25640;0.03065;0.05126
-256.3000E-03,+70.8544E-03,+11.0555E-03;;-0.25630;0.07085;0.01106
-256.2000E-03,-9.5476E-03,+11.0555E-03;;-0.25620;-0.00955;0.01106
-256.1000E-03,-9.5476E-03,+51.2565E-03;;-0.25610;-0.00955;0.05126
-256.0000E-03,+30.6534E-03,+51.2565E-03;;-0.25600;0.03065;0.05126
-255.9000E-03,+30.6534E-03,+11.0555E-03;;-0.25590;0.03065;0.01106
